2972091,Jalen Richard,RB
17051,Albert Wilson,WR
16804,John Brown,WR
3923397,Ryquell Armstead,RB
3057987,DaeSean Hamilton,WR
3916148,Tony Pollard,RB
13232,Jimmy Graham,TE
3116721,Jaylen Samuels,RB
3115373,Jamal Adams,S
10475,Greg Olsen,TE
-16002,Bills D/ST,D/ST
9704,Stephen Gostkowski,K
14054,Kyle Rudolph,TE
14993,Greg Zuerlein,K
3128451,Tre'Quan Smith,WR
16760,Jimmy Garoppolo,QB
2578533,Chris Conley,WR
14877,Nick Foles,QB
3039707,Mitchell Trubisky,QB
5536,Ben Roethlisberger,QB
-16033,Ravens D/ST,D/ST
3115394,DJ Chark Jr.,WR
15826,Giovani Bernard,RB
5529,Philip Rivers,QB
3126486,Deebo Samuel,WR
2969939,Jameis Winston,QB
-16014,Rams D/ST,D/ST
-16016,Vikings D/ST,D/ST
11284,Calais Campbell,DT
16782,Jerick McKinnon,RB
15683,Justin Tucker,K
-16026,Seahawks D/ST,D/ST
2985659,Wil Lutz,K
3055899,Harrison Butker,K
-16018,Saints D/ST,D/ST
3915189,Roquan Smith,LB
-16024,Chargers D/ST,D/ST
-16017,Patriots D/ST,D/ST
15349,Cole Beasley,WR
4038441,Justice Hill,RB
-16034,Texans D/ST,D/ST
16777,Carlos Hyde,RB
-16007,Broncos D/ST,D/ST
2971573,Ka'imi Fairbairn,K
-16021,Eagles D/ST,D/ST
3123052,Michael Badgley,K
16486,Brett Maher,K
9354,Robbie Gould,K
1097,Adam Vinatieri,K
3050478,Jake Elliott,K
15966,Chris Thompson,RB
14985,Lavonte David,LB
2473037,Jason Myers,K
-16005,Browns D/ST,D/ST
11122,Matt Prater,K
10636,Mason Crosby,K
